,user,id,date,hashtags,text,data
80,alisshadavid,1302219126362963968,2020-09-05 15:16:48+00:00,#CoronaVirus #N95 #Facemask,regular surgical fancy mask doesnt anything prevent getting coronavirusunless n95 respirator mask wear facemask stay safe,A regular surgical or fancy mask doesnt do anything to prevent you from getting CoronaVirusunless you have an N95 Respirator mask Wear your Facemask Stay Safe
81,TMSNXDetroit,1302219123179520000,2020-09-05 15:16:47+00:00,#LIons #NFL,calvin johnson look 622 million cases coronavirus infections 188000 deaths result united states alone lions nfl,Calvin Johnson has to look no further than the 622 million cases of coronavirus infections and 188000 deaths as a result in the United States alone LIons NFL
82,EconomicTimes,1302219116732755968,2020-09-05 15:16:46+00:00,#coronavirus,national capital reported coronavirus cases excess 2000 four consecutive days since september 1 friday daily cases count stood 2914,The national capital has reported coronavirus cases in excess of 2000 for four consecutive days since September 1 On Friday the daily cases count stood at 2914
83,ImDhvij,1302219110906961920,2020-09-05 15:16:44+00:00,,government needs help save schoolgins corona virus whole country go lockdown saveour schooleducators pmoindia narendramodi eduminofindia drrpnishank nisaedu saveour schooleducators,The government needs to help save the schoolgins because Corona virus whole country has go to the lockdown SaveOur SchoolEducators PMOIndia narendramodi EduMinOfIndia DrRPNishank NISAedu SaveOur SchoolEducators
84,MackayIM,1302219097422266368,2020-09-05 15:16:41+00:00,,positive coronavirus cases detected sa wastewater hotel quarantine,Positive coronavirus cases detected in SA wastewater and in hotel quarantine
85,NBC10Boston,1302219073498091520,2020-09-05 15:16:35+00:00,,brewers expect able operate outdoor operations early november latest business model faces upheaval economic havoc wreaked coronavirus pandemic,Brewers expect to be able to operate outdoor operations into early November at the latest before their business model again faces upheaval because the economic havoc wreaked by the coronavirus pandemic
86,PaulHuber,1302219059677847552,2020-09-05 15:16:32+00:00,#SmartNews,pew record 52 young adults us living parents amid coronavirus pandemic smartnews,Pew Record 52 of young adults in US are living with parents amid the coronavirus pandemic SmartNews
87,NewsMsdr,1302219058780266496,2020-09-05 15:16:32+00:00,#Palestinian #Gaza #coronavirus,palestinian ministry health gaza announced death nahed hassan issa 55 years jabalia northern gaza strip result infection coronavirus,Palestinian Ministry of Health in Gaza announced death of Nahed Hassan Issa 55 years from Jabalia in northern Gaza Strip as result of his infection with coronavirus
88,nazianaseer4,1302219057152888832,2020-09-05 15:16:31+00:00,#KarachiVisionByPMIK,every one wearing mask save selves corona viruscorona virus doesnt wear mask karachivisionbypmik imrankhanpti bbhuttozardari,Every one wearing mask to save selves from Corona virusCorona virus doesnt wear mask KarachiVisionByPMIK ImranKhanPTI BBhuttoZardari
89,AndrewW66619812,1302219040253976576,2020-09-05 15:16:27+00:00,,meat processors trial contact tracing device fight covid19 claiming dhhs slow act midfield meats hopes bluetooth devices help prevent future coronavirus outbreaks,Meat processors trial contact tracing device in fight against COVID19 claiming DHHS too slow to act Midfield Meats hopes the Bluetooth devices will help prevent future coronavirus outbreaks
90,MrFoxPhoto,1302218999628017664,2020-09-05 15:16:18+00:00,#fakehero #herosyndrome #HeroesAct #factsmatter,democrats blame pandemic damage caused prove science logistics illegal immigration sanctuary cities caused outbreak coronavirus senschumer fakehero herosyndrome stop heroesact factsmatter,Democrats are to blame for the pandemic and the damage it caused I can prove with the science of logistics that illegal immigration and Sanctuary cities caused the outbreak of Coronavirus You SenSchumer are a fakehero with herosyndrome Stop the HeroesAct factsmatter
91,poandpo,1302218996465512448,2020-09-05 15:16:17+00:00,#Health #Brazil #reports #coronavirus #cases #deaths,brazil reports 51194 coronavirus cases 907 deaths health brazil reports 51194 coronavirus cases 907 deaths 919,Brazil reports 51194 coronavirus cases 907 deaths Health Brazil reports 51194 coronavirus cases 907 deaths 919
92,poandpo,1302218992061480960,2020-09-05 15:16:16+00:00,#Health #Russia #coronavirus #vaccine #effective #against #any #dose #of #virus,russias coronavirus vaccine effective dose virus health russias coronavirus vaccine effective dose virus 661,Russias coronavirus vaccine effective against any dose of virus Health Russias coronavirus vaccine effective against any dose of virus 661
93,1_kolbacki,1302218990987730944,2020-09-05 15:16:16+00:00,,earths moving melting amp leaking core see small gold core projection mining making smaller redorange seen atmospheric sky photos mantle remains coronavirus,Earths moving melting amp leaking core Can you see the small gold core projection Mining is making it smaller Redorange is seen in atmospheric sky photos The mantle remains as Coronavirus
94,poandpo,1302218990769577984,2020-09-05 15:16:16+00:00,#Health #France #reports #nearly #new #coronavirus #cases,france reports nearly 9000 new coronavirus cases health france reports nearly 9000 new coronavirus cases 232,France reports nearly 9000 new coronavirus cases Health France reports nearly 9000 new coronavirus cases 232
96,KelvinMate_,1302218979566641152,2020-09-05 15:16:13+00:00,#DrUN,thank drun honouring best human good eating drinking habit person hand wash coronavirus era,Thank you DrUN for honouring me with the best Human with good eating and drinking habit person with the most hand wash in the coronavirus era
97,poandpo,1302218979331768320,2020-09-05 15:16:13+00:00,#Health #Brazil #reports #coronavirus #cases #deaths,brazil reports 51194 coronavirus cases 907 deaths health brazil reports 51194 coronavirus cases 907 deaths 891,Brazil reports 51194 coronavirus cases 907 deaths Health Brazil reports 51194 coronavirus cases 907 deaths 891
98,poandpo,1302218975372349440,2020-09-05 15:16:12+00:00,#Health #Russia #coronavirus #vaccine #effective #against #any #dose #of #virus,russias coronavirus vaccine effective dose virus health russias coronavirus vaccine effective dose virus 84,Russias coronavirus vaccine effective against any dose of virus Health Russias coronavirus vaccine effective against any dose of virus 84
99,poandpo,1302218974034305024,2020-09-05 15:16:12+00:00,#Health #France #reports #nearly #new #coronavirus #cases,france reports nearly 9000 new coronavirus cases health france reports nearly 9000 new coronavirus cases 182,France reports nearly 9000 new coronavirus cases Health France reports nearly 9000 new coronavirus cases 182
100,rajab_natshah,1302218973589757952,2020-09-05 15:16:12+00:00,,community belonging time coronavirus drupalcon global 2020 via youtube,Community and belonging in the time of Coronavirus DrupalCon Global 2020 via YouTube
101,goldfinch521,1302218956938391552,2020-09-05 15:16:08+00:00,,strange specifically state covid19 thought new coronavirus strain,Very strange Why does it specifically state Covid19 I thought this was a new Coronavirus strain
102,MyVadodara,1302218949975711744,2020-09-05 15:16:06+00:00,#vadodara #coronavirus,vadodara covid19 update new cases 119 total cases 8673 new sample tested 2349 total 92591 todays deaths 1149 death toll todays discharged 171total discharged 7109 active cases 1415 ventilator 59 oxygen 140 vadodara coronavirus,Vadodara Covid19 Update New cases 119 Total cases 8673 New sample tested 2349 Total 92591 Todays deaths 1149 death toll Todays Discharged 171Total discharged 7109 Active cases 1415 On ventilator 59 on oxygen 140 vadodara coronavirus
103,sueyellin,1302218937086681088,2020-09-05 15:16:03+00:00,#coronavirus,1000 coronavirus deaths every day 40000 new cases 188000 people died,1000 coronavirus deaths every day 40000 new cases 188000 people have died
